cycle_number,min_temp_c,max_temp_c,delta_t_c,coolant_flow_rate_lpm,pressure_drop_kpa,visual_inspection,notes
1,-40.9,84.8,125.8,6.03,21.74,PASS,
2,-39.8,85.1,124.9,6.02,22.01,PASS,
3,-40.0,84.7,124.7,6.01,22.01,PASS,
4,-39.7,85.0,124.7,6.0,22.28,PASS,
5,-40.3,85.8,126.0,6.03,21.82,PASS,
6,-39.9,84.9,124.8,6.02,21.95,PASS,
7,-39.7,85.2,124.9,6.02,21.87,PASS,
8,-40.1,84.4,124.5,6.01,21.85,PASS,
9,-40.1,85.6,125.7,5.99,22.18,PASS,
10,-40.0,84.8,124.8,6.01,22.02,PASS,
11,-39.8,85.4,125.3,6.01,21.93,PASS,
12,-40.0,85.0,125.0,5.99,21.94,PASS,
13,-39.7,85.2,125.0,5.99,21.93,PASS,
14,-40.1,85.3,125.4,6.02,21.95,PASS,
15,-40.4,84.8,125.2,6.03,21.83,PASS,
16,-39.4,85.4,124.8,5.98,21.98,PASS,
17,-40.2,84.7,124.9,5.99,21.97,PASS,
18,-40.2,85.3,125.5,6.0,21.91,PASS,
19,-40.0,84.8,124.9,6.01,22.05,PASS,
20,-40.0,85.1,125.1,5.99,22.06,PASS,
21,-40.1,84.8,124.9,6.03,21.94,PASS,
22,-40.0,85.0,125.0,6.01,22.0,PASS,
23,-40.0,84.6,124.6,6.01,22.35,PASS,
24,-39.9,85.1,125.0,6.03,22.35,PASS,
25,-40.7,85.0,125.7,5.99,21.87,PASS,
26,-39.4,84.8,124.2,5.99,21.89,PASS,
27,-40.0,85.0,125.0,5.97,21.87,PASS,
28,-39.8,85.1,124.9,5.99,22.19,PASS,
29,-40.4,84.8,125.2,5.97,21.98,PASS,
30,-40.1,84.9,125.1,6.01,22.07,PASS,
31,-40.2,84.6,124.8,6.0,22.34,PASS,
32,-39.6,85.9,125.5,5.99,22.04,PASS,
33,-40.2,85.4,125.6,5.99,22.15,PASS,
34,-39.8,85.1,124.9,6.01,22.12,PASS,
35,-40.2,85.5,125.7,5.97,21.95,PASS,
36,-40.1,84.2,124.3,6.0,22.2,PASS,
37,-40.1,84.0,124.1,6.01,21.92,PASS,
38,-39.6,84.8,124.5,5.96,22.25,PASS,
39,-40.6,84.4,125.0,6.01,21.96,PASS,
40,-40.4,84.9,125.3,5.96,21.98,PASS,
41,-40.6,85.1,125.7,5.99,21.89,PASS,
42,-40.3,85.4,125.7,5.97,21.91,PASS,
43,-40.2,84.5,124.8,6.02,21.99,PASS,
44,-40.5,85.2,125.6,5.97,21.69,PASS,
45,-40.2,85.0,125.2,5.96,22.02,PASS,
46,-40.6,85.1,125.7,6.0,21.98,PASS,
47,-40.3,84.8,125.1,5.98,22.17,PASS,
48,-39.6,85.6,125.2,5.96,22.12,PASS,
49,-39.9,85.0,124.8,6.0,21.95,PASS,
50,-39.9,85.7,125.7,5.95,21.99,PASS,
51,-40.3,84.7,125.0,5.97,22.03,PASS,
52,-40.5,85.3,125.8,5.98,22.29,PASS,
53,-40.3,85.0,125.3,6.01,21.94,PASS,
54,-40.0,84.9,124.9,6.02,21.96,PASS,
55,-39.7,85.3,125.0,6.01,21.9,PASS,
56,-39.7,84.9,124.6,5.99,21.84,PASS,
57,-39.8,83.9,123.7,5.94,22.11,PASS,
58,-40.2,83.8,124.0,6.0,22.1,PASS,
59,-40.0,85.5,125.5,6.02,22.26,PASS,
60,-40.1,85.5,125.6,6.02,22.23,PASS,
61,-40.1,85.8,125.8,6.0,22.43,PASS,
62,-39.4,85.0,124.4,5.97,22.06,PASS,
63,-40.5,84.5,125.0,5.98,22.04,PASS,
64,-40.1,84.8,124.9,6.03,21.88,PASS,
65,-39.6,85.0,124.6,5.96,22.18,PASS,
66,-40.4,84.6,125.0,5.97,22.1,PASS,
67,-40.2,85.7,125.9,6.01,22.18,PASS,
68,-40.2,85.9,126.1,5.98,21.91,PASS,
69,-40.1,85.2,125.3,5.97,22.14,PASS,
70,-40.5,85.0,125.5,6.02,22.11,PASS,
71,-39.8,84.5,124.3,6.0,22.11,PASS,
72,-39.8,85.6,125.4,5.98,21.98,PASS,
73,-39.8,85.0,124.9,5.97,22.27,PASS,
74,-40.3,84.9,125.1,6.03,22.4,PASS,
75,-40.0,85.2,125.2,5.99,21.92,PASS,
76,-40.3,84.8,125.0,6.02,22.2,PASS,
77,-40.1,85.1,125.2,6.01,21.66,PASS,
78,-39.4,84.4,123.8,5.98,22.19,PASS,
79,-40.0,85.4,125.4,5.98,21.81,PASS,
80,-40.4,85.0,125.3,6.02,22.02,PASS,
81,-39.9,85.5,125.4,6.02,21.9,PASS,
82,-40.4,84.9,125.3,5.95,22.07,PASS,
83,-40.4,84.9,125.3,6.0,22.23,PASS,
84,-40.3,84.5,124.8,5.98,21.82,PASS,
85,-40.1,85.3,125.4,5.97,22.05,PASS,
86,-39.7,84.6,124.4,5.99,22.03,PASS,
87,-39.8,84.8,124.6,5.96,22.34,PASS,
88,-39.8,85.0,124.8,5.98,22.17,PASS,
89,-40.3,85.0,125.4,5.97,21.93,PASS,
90,-40.2,84.3,124.5,5.98,22.04,PASS,
91,-39.9,84.9,124.8,5.98,22.34,PASS,
92,-40.2,85.3,125.5,5.97,22.22,PASS,
93,-40.1,84.8,124.9,6.02,21.97,PASS,
94,-39.9,84.9,124.8,6.0,22.07,PASS,
95,-40.1,85.1,125.2,6.02,22.08,PASS,
96,-39.9,84.9,124.9,5.98,22.03,PASS,
97,-39.5,84.6,124.1,5.97,21.86,PASS,
98,-40.1,85.0,125.0,6.02,22.02,PASS,
99,-39.6,85.4,125.0,5.97,22.33,PASS,
100,-39.8,84.6,124.4,5.98,22.06,PASS,
101,-40.4,84.9,125.3,6.0,22.11,PASS,
102,-40.3,84.4,124.8,5.96,22.14,PASS,
103,-40.3,85.4,125.6,6.0,22.46,PASS,
104,-40.3,85.0,125.2,6.0,22.13,PASS,
105,-40.0,84.7,124.7,6.01,22.29,PASS,
106,-39.8,85.0,124.9,6.0,22.04,PASS,
107,-39.6,84.5,124.1,6.01,22.09,PASS,
108,-39.9,84.6,124.5,5.98,22.13,PASS,
109,-40.1,84.4,124.5,5.97,22.01,PASS,
110,-40.6,84.6,125.2,6.03,22.1,PASS,
111,-40.0,85.5,125.5,5.95,22.27,PASS,
112,-40.0,84.7,124.7,5.95,22.01,PASS,
113,-39.9,85.2,125.1,5.99,22.14,PASS,
114,-39.4,84.7,124.0,6.02,22.24,PASS,
115,-39.6,85.3,124.9,5.99,22.01,PASS,
116,-39.8,84.6,124.4,6.0,22.3,PASS,
117,-40.3,85.0,125.3,5.94,22.15,PASS,
118,-40.2,85.0,125.2,5.97,22.12,PASS,
119,-40.0,85.9,126.0,5.94,21.84,PASS,
120,-40.2,85.3,125.5,6.0,22.09,PASS,
121,-39.8,84.8,124.6,5.95,22.2,PASS,
122,-39.9,85.3,125.2,5.96,22.41,PASS,
123,-40.3,85.9,126.2,5.99,22.23,PASS,
124,-39.6,84.3,124.0,6.0,22.32,PASS,
125,-40.0,84.7,124.6,5.98,21.97,PASS,
126,-40.5,84.9,125.4,5.99,22.13,PASS,
127,-40.0,84.8,124.8,5.99,22.34,PASS,
128,-39.9,84.9,124.8,5.98,22.02,PASS,
129,-39.7,84.5,124.2,5.96,22.3,PASS,
130,-40.1,85.6,125.7,5.99,22.27,PASS,
131,-39.8,84.4,124.2,5.99,22.2,PASS,
132,-39.9,84.9,124.9,6.0,22.11,PASS,
133,-40.4,85.4,125.8,5.99,22.01,PASS,
134,-40.4,85.0,125.4,5.96,22.43,PASS,
135,-39.7,84.6,124.3,5.99,22.26,PASS,
136,-39.6,84.5,124.1,5.98,22.21,PASS,
137,-39.9,84.9,124.8,5.97,22.1,PASS,
138,-39.6,84.7,124.2,5.97,22.17,PASS,
139,-39.7,85.1,124.8,5.97,22.19,PASS,
140,-39.8,84.4,124.2,6.0,22.23,PASS,
141,-40.3,85.3,125.6,5.95,22.28,PASS,
142,-39.5,85.0,124.5,5.96,22.05,PASS,
143,-39.8,85.1,124.9,5.97,21.95,PASS,
144,-40.1,85.6,125.7,6.01,22.19,PASS,
145,-40.2,84.8,125.0,6.0,21.91,PASS,
146,-39.9,84.7,124.6,5.95,22.13,PASS,
147,-40.5,84.8,125.3,6.0,22.1,PASS,
148,-39.8,84.9,124.7,6.0,22.25,PASS,
149,-40.3,85.0,125.2,5.95,22.48,PASS,
150,-39.9,84.7,124.6,5.93,21.89,PASS,
151,-40.2,84.2,124.3,5.98,22.52,PASS,
152,-40.1,84.8,124.9,6.0,22.15,PASS,
153,-40.2,85.1,125.4,6.01,22.24,PASS,
154,-40.0,85.1,125.1,5.96,21.97,PASS,
155,-39.4,85.5,124.9,6.01,22.34,PASS,
156,-39.6,85.8,125.4,5.93,22.19,PASS,
157,-39.9,85.3,125.2,5.97,22.18,PASS,
158,-40.0,85.6,125.6,5.97,21.9,PASS,
159,-39.7,85.3,125.1,6.0,22.2,PASS,
160,-39.7,85.7,125.3,6.0,22.32,PASS,
161,-40.2,85.7,126.0,5.99,22.16,PASS,
162,-40.0,85.4,125.4,5.95,22.37,PASS,
163,-40.5,85.3,125.8,5.99,22.37,PASS,
164,-39.7,84.9,124.6,5.99,22.1,PASS,
165,-39.4,85.0,124.4,5.94,22.44,PASS,
166,-40.0,84.9,124.8,5.93,22.21,PASS,
167,-40.6,85.2,125.9,6.0,22.21,PASS,
168,-39.8,84.7,124.5,5.97,22.22,PASS,
169,-40.3,84.9,125.2,5.95,22.21,PASS,
170,-40.2,84.1,124.3,5.97,21.81,PASS,
171,-39.8,85.7,125.5,5.98,22.18,PASS,
172,-39.9,84.9,124.8,5.97,22.0,PASS,
173,-40.1,85.2,125.3,5.94,22.45,PASS,
174,-40.2,85.6,125.8,6.01,22.45,PASS,
175,-40.0,85.1,125.1,5.99,22.34,PASS,
176,-40.1,85.6,125.7,5.97,22.18,PASS,
177,-40.3,84.5,124.8,5.97,22.06,PASS,
178,-40.1,86.0,126.1,5.98,22.11,PASS,
179,-39.9,85.4,125.3,5.95,22.51,PASS,
180,-40.1,85.1,125.1,5.98,22.11,PASS,
181,-40.4,85.6,126.0,5.95,21.86,PASS,
182,-39.7,84.5,124.2,5.97,22.37,PASS,
183,-40.8,84.9,125.7,5.95,22.44,PASS,
184,-40.1,85.6,125.7,5.95,22.47,PASS,
185,-40.2,84.3,124.4,6.01,22.38,PASS,
186,-40.0,85.2,125.2,5.97,22.4,PASS,
187,-39.8,85.2,125.0,5.98,22.23,PASS,
188,-39.7,85.8,125.4,5.93,21.91,PASS,
189,-40.2,84.4,124.6,5.96,22.23,PASS,
190,-39.8,85.6,125.5,5.98,22.32,PASS,
