unit_serial,measurement_date,cooling_plate_flatness_mm,channel_depth_mm,channel_width_mm,surface_roughness_um,leak_test_pressure_kpa,leak_test_result,weight_g,inspector_id
TM4200-260001,2026-03-01,0.047,1.477,3.047,0.7,150.1,PASS,1191.3,KT-103
TM4200-260002,2026-03-01,0.064,1.459,2.997,0.84,149.9,PASS,1194.2,KT-102
TM4200-260003,2026-03-01,0.045,1.47,2.971,0.73,149.8,PASS,1199.1,KT-104
TM4200-260004,2026-03-01,0.027,1.52,2.981,0.9,150.5,PASS,1199.0,KT-105
TM4200-260005,2026-03-01,0.038,1.515,3.121,0.9,150.3,PASS,1196.6,KT-105
TM4200-260006,2026-03-01,0.055,1.503,2.896,0.98,149.8,PASS,1198.9,KT-103
TM4200-260007,2026-03-01,0.053,1.466,3.03,1.08,150.2,PASS,1200.4,KT-103
TM4200-260008,2026-03-01,0.029,1.523,2.899,1.0,149.8,PASS,1205.3,KT-101
TM4200-260009,2026-03-01,0.039,1.463,2.994,0.61,149.6,PASS,1199.4,KT-101
TM4200-260010,2026-03-01,0.041,1.535,2.974,0.62,150.3,PASS,1202.4,KT-103
TM4200-260011,2026-03-01,0.044,1.586,2.875,0.78,149.5,PASS,1196.8,KT-103
TM4200-260012,2026-03-01,0.031,1.511,3.023,0.71,150.3,PASS,1203.4,KT-101
TM4200-260013,2026-03-01,0.04,1.517,2.977,0.57,149.9,PASS,1202.3,KT-103
TM4200-260014,2026-03-01,0.039,1.485,2.874,0.71,149.9,PASS,1205.2,KT-104
TM4200-260015,2026-03-01,0.057,1.446,3.05,0.71,150.1,PASS,1204.3,KT-105
TM4200-260016,2026-03-01,0.058,1.482,3.086,0.67,150.2,PASS,1203.5,KT-105
TM4200-260017,2026-03-01,0.046,1.467,3.089,0.74,149.8,PASS,1199.4,KT-102
TM4200-260018,2026-03-01,0.043,1.457,3.022,1.04,150.2,PASS,1201.5,KT-102
TM4200-260019,2026-03-01,0.05,1.552,3.003,0.84,150.0,PASS,1206.4,KT-105
TM4200-260020,2026-03-01,0.038,1.508,3.08,1.29,149.6,PASS,1196.1,KT-104
TM4200-260021,2026-03-01,0.034,1.511,3.101,0.83,149.9,PASS,1196.2,KT-102
TM4200-260022,2026-03-01,0.037,1.491,3.068,0.74,150.4,PASS,1201.1,KT-104
TM4200-260023,2026-03-01,0.04,1.495,2.944,0.8,150.5,PASS,1202.5,KT-101
TM4200-260024,2026-03-01,0.034,1.529,3.012,0.85,150.2,PASS,1195.1,KT-103
TM4200-260025,2026-03-01,0.05,1.499,3.026,0.89,149.6,PASS,1199.6,KT-102
TM4200-260026,2026-03-02,0.057,1.516,2.891,1.22,150.1,PASS,1199.4,KT-105
TM4200-260027,2026-03-02,0.029,1.494,3.028,0.63,150.3,PASS,1186.7,KT-101
TM4200-260028,2026-03-02,0.048,1.49,3.136,0.97,150.2,PASS,1198.7,KT-105
TM4200-260029,2026-03-02,0.045,1.458,3.038,0.84,150.2,PASS,1199.1,KT-102
TM4200-260030,2026-03-02,0.052,1.441,3.088,0.49,150.1,PASS,1199.0,KT-101
TM4200-260031,2026-03-02,0.048,1.492,3.011,0.95,150.0,PASS,1208.5,KT-104
TM4200-260032,2026-03-02,0.031,1.502,2.996,1.05,149.8,PASS,1192.7,KT-104
TM4200-260033,2026-03-02,0.033,1.461,3.023,0.63,149.4,PASS,1195.1,KT-101
TM4200-260034,2026-03-02,0.048,1.499,2.951,0.8,150.1,PASS,1184.3,KT-101
TM4200-260035,2026-03-02,0.06,1.502,2.942,0.45,150.1,PASS,1197.1,KT-101
TM4200-260036,2026-03-02,0.021,1.435,3.076,0.55,150.2,PASS,1197.6,KT-103
TM4200-260037,2026-03-02,0.052,1.473,3.082,1.01,149.6,PASS,1196.9,KT-101
TM4200-260038,2026-03-02,0.062,1.512,2.941,0.71,150.2,PASS,1206.6,KT-104
TM4200-260039,2026-03-02,0.046,1.512,3.058,0.58,150.6,PASS,1205.2,KT-101
TM4200-260040,2026-03-02,0.055,1.465,2.995,0.85,150.0,PASS,1200.5,KT-104
TM4200-260041,2026-03-02,0.04,1.505,3.02,0.7,150.0,PASS,1197.8,KT-105
TM4200-260042,2026-03-02,0.047,1.531,3.028,0.71,150.1,PASS,1206.2,KT-104
TM4200-260043,2026-03-02,0.029,1.523,3.06,0.95,150.6,PASS,1199.9,KT-105
TM4200-260044,2026-03-02,0.02,1.497,3.005,0.57,149.7,PASS,1195.1,KT-105
TM4200-260045,2026-03-02,0.059,1.486,3.085,0.62,150.1,PASS,1189.7,KT-101
TM4200-260046,2026-03-02,0.036,1.481,3.019,0.83,149.8,PASS,1197.4,KT-102
TM4200-260047,2026-03-02,0.043,1.514,3.037,0.99,149.8,PASS,1204.5,KT-104
TM4200-260048,2026-03-02,0.031,1.506,2.95,1.05,150.0,PASS,1213.7,KT-102
TM4200-260049,2026-03-02,0.031,1.519,3.13,0.67,150.4,PASS,1200.4,KT-104
TM4200-260050,2026-03-02,0.046,1.504,3.028,0.99,150.5,PASS,1195.4,KT-104
TM4200-260051,2026-03-03,0.039,1.525,3.043,0.64,150.1,PASS,1192.9,KT-105
TM4200-260052,2026-03-03,0.053,1.503,2.904,1.17,149.9,PASS,1203.3,KT-102
TM4200-260053,2026-03-03,0.053,1.524,2.951,0.57,150.7,PASS,1189.4,KT-102
TM4200-260054,2026-03-03,0.052,1.526,3.074,1.07,149.9,PASS,1203.3,KT-101
TM4200-260055,2026-03-03,0.051,1.476,3.017,0.67,149.8,PASS,1204.9,KT-102
TM4200-260056,2026-03-03,0.067,1.446,2.885,1.2,149.5,PASS,1202.6,KT-102
TM4200-260057,2026-03-03,0.035,1.546,3.062,0.92,150.4,PASS,1198.7,KT-103
TM4200-260058,2026-03-03,0.047,1.508,2.967,0.6,150.3,PASS,1203.4,KT-103
TM4200-260059,2026-03-03,0.062,1.449,3.085,0.7,150.7,PASS,1201.0,KT-105
TM4200-260060,2026-03-03,0.063,1.479,2.995,0.96,149.6,PASS,1195.3,KT-104
TM4200-260061,2026-03-03,0.031,1.523,3.012,1.01,150.4,PASS,1211.1,KT-104
TM4200-260062,2026-03-03,0.044,1.492,3.071,0.79,150.0,PASS,1197.9,KT-101
